healthDa
LTLAC,GHCG,generalHealth,Observation
E09000018,5,Very bad health,1.3
E09000019,-8,Does not apply,0
E09000019,1,Very good health,48.6
E09000019,2,Good health,29.8
E09000019,3,Fair health,13.7
E09000019,4,Bad health,5.8
E09000019,5,Very bad health,2.1
E09000020,-8,Does not apply,0
E09000020,1,Very good health,58
E09000020,2,Good health,26.9
E09000020,3,Fair health,10.1
E09000020,4,Bad health,3.7
E09000020,5,Very bad health,1.2
E09000021,-8,Does not apply,0
E09000021,1,Very good health,51.3
E09000021,2,Good health,33.5
E09000021,3,Fair health,11.2
E09000021,4,Bad health,3
E09000021,5,Very bad health,0.9
E09000022,-8,Does not apply,0
E09000022,1,Very good health,49.9
E09000022,2,Good health,31.2
E09000022,3,Fair health,13
E09000022,4,Bad health,4.5
E09000022,5,Very bad health,1.5
E09000023,-8,Does not apply,0
E09000023,1,Very good health,47.7
E09000023,2,Good health,32.9
E09000023,3,Fair health,13.5
E09000023,4,Bad health,4.5
E09000023,5,Very bad health,1.4
E09000024,-8,Does not apply,0
E09000024,1,Very good health,51
E09000024,2,Good health,33.1
E09000024,3,Fair health,11.6
E09000024,4,Bad health,3.3
E09000024,5,Very bad health,1
E09000025,-8,Does not apply,0
E09000025,1,Very good health,42.9
E09000025,2,Good health,33.9
E09000025,3,Fair health,15.6
E09000025,4,Bad health,5.6
E09000025,5,Very bad health,2
E09000026,-8,Does not apply,0
E09000026,1,Very good health,46.4
E09000026,2,Good health,35.4
E09000026,3,Fair health,13.1
E09000026,4,Bad health,3.9
E09000026,5,Very bad health,1.3
E09000027,-8,Does not apply,0
E09000027,1,Very good health,57.6
E09000027,2,Good health,30
E09000027,3,Fair health,9.1
E09000027,4,Bad health,2.6
E09000027,5,Very bad health,0.8
E09000028,-8,Does not apply,0
E09000028,1,Very good health,49.4
E09000028,2,Good health,31.1
E09000028,3,Fair health,13.3
E09000028,4,Bad health,4.6
E09000028,5,Very bad health,1.6
E09000029,-8,Does not apply,0
E09000029,1,Very good health,48.9
E09000029,2,Good health,35
E09000029,3,Fair health,11.8
E09000029,4,Bad health,3.4
E09000029,5,Very bad health,1
E09000030,-8,Does not apply,0
E09000030,1,Very good health,42.5
E09000030,2,Good health,32
E09000030,3,Fair health,15.9
E09000030,4,Bad health,7
E09000030,5,Very bad health,2.5
E09000031,-8,Does not apply,0
E09000031,1,Very good health,45.9
E09000031,2,Good health,34.3
E09000031,3,Fair health,13.7
E09000031,4,Bad health,4.6
E09000031,5,Very bad health,1.5
E09000032,-8,Does not apply,0
E09000032,1,Very good health,54.4
E09000032,2,Good health,29.7
E09000032,3,Fair health,11.3
E09000032,4,Bad health,3.6
E09000032,5,Very bad health,1.1
E09000033,-8,Does not apply,0
E09000033,1,Very good health,52.8
E09000033,2,Good health,29.4
E09000033,3,Fair health,11.6
E09000033,4,Bad health,4.4
E09000033,5,Very bad health,1.8
W06000001,-8,Does not apply,0
W06000001,1,Very good health,50.7
W06000001,2,Good health,31.2
W06000001,3,Fair health,13.1
W06000001,4,Bad health,3.9
W06000001,5,Very bad health,1.1
W06000002,-8,Does not apply,0
W06000002,1,Very good health,51.5
W06000002,2,Good health,31.2
W06000002,3,Fair health,12.4
W06000002,4,Bad health,3.7
W06000002,5,Very bad health,1
W06000003,-8,Does not apply,0
W06000003,1,Very good health,48.2
W06000003,2,Good health,32.6
W06000003,3,Fair health,13.5
W06000003,4,Bad health,4.4
W06000003,5,Very bad health,1.3
W06000004,-8,Does not apply,0
W06000004,1,Very good health,47
W06000004,2,Good health,32.4
W06000004,3,Fair health,14.1
W06000004,4,Bad health,4.9
W06000004,5,Very bad health,1.6
W06000005,-8,Does not apply,0
W06000005,1,Very good health,48.3
W06000005,2,Good health,33.3
W06000005,3,Fair health,13
W06000005,4,Bad health,4.2
W06000005,5,Very bad health,1.3
W06000006,-8,Does not apply,0
W06000006,1,Very good health,45.5
W06000006,2,Good health,34.2
W06000006,3,Fair health,14.2
W06000006,4,Bad health,4.8
W06000006,5,Very bad health,1.3
W06000008,-8,Does not apply,0
W06000008,1,Very good health,48
W06000008,2,Good health,32.8
W06000008,3,Fair health,13.7
W06000008,4,Bad health,4.2
W06000008,5,Very bad health,1.3
W06000009,-8,Does not apply,0
W06000009,1,Very good health,47.5
W06000009,2,Good health,32.9
W06000009,3,Fair health,13.6
W06000009,4,Bad health,4.6
W06000009,5,Very bad health,1.4
W06000010,-8,Does not apply,0
W06000010,1,Very good health,47.2
W06000010,2,Good health,31.5
W06000010,3,Fair health,14.4
W06000010,4,Bad health,5.2
W06000010,5,Very bad health,1.7
W06000011,-8,Does not apply,0
W06000011,1,Very good health,47.7
W06000011,2,Good health,31.1
W06000011,3,Fair health,13.9
W06000011,4,Bad health,5.5
W06000011,5,Very bad health,1.9
W06000012,-8,Does not apply,0
W06000012,1,Very good health,45.9
W06000012,2,Good health,30.5
W06000012,3,Fair health,15.1
W06000012,4,Bad health,6.4
W06000012,5,Very bad health,2.1
W06000013,-8,Does not apply,0
W06000013,1,Very good health,46.3
W06000013,2,Good health,31.8
W06000013,3,Fair health,14.6
W06000013,4,Bad health,5.5
W06000013,5,Very bad health,1.8
W06000014,-8,Does not apply,0
W06000014,1,Very good health,49.2
W06000014,2,Good health,32.3
W06000014,3,Fair health,12.8
W06000014,4,Bad health,4.3
W06000014,5,Very bad health,1.4
W06000015,-8,Does not apply,0
W06000015,1,Very good health,46.7
W06000015,2,Good health,32.6
W06000015,3,Fair health,13.8
W06000015,4,Bad health,5.3
W06000015,5,Very bad health,1.7
W06000016,-8,Does not apply,0
W06000016,1,Very good health,44
W06000016,2,Good health,32
W06000016,3,Fair health,15.7
W06000016,4,Bad health,6.3
W06000016,5,Very bad health,2
W06000018,-8,Does not apply,0
W06000018,1,Very good health,43.6
W06000018,2,Good health,32.3
W06000018,3,Fair health,15.7
W06000018,4,Bad health,6.4
W06000018,5,Very bad health,2
W06000019,-8,Does not apply,0
W06000019,1,Very good health,41.5
W06000019,2,Good health,32.7
W06000019,3,Fair health,16.5
W06000019,4,Bad health,7
W06000019,5,Very bad health,2.3
W06000020,-8,Does not apply,0
W06000020,1,Very good health,42.7
W06000020,2,Good health,34.2
W06000020,3,Fair health,15.4
W06000020,4,Bad health,6
W06000020,5,Very bad health,1.8
W06000021,-8,Does not apply,0
W06000021,1,Very good health,49.7
W06000021,2,Good health,33.4
W06000021,3,Fair health,12
W06000021,4,Bad health,3.8
W06000021,5,Very bad health,1.1
W06000022,-8,Does not apply,0
W06000022,1,Very good health,44.6
W06000022,2,Good health,33.6
W06000022,3,Fair health,14.6
W06000022,4,Bad health,5.5
W06000022,5,Very bad health,1.7
W06000023,-8,Does not apply,0
W06000023,1,Very good health,48.6
W06000023,2,Good health,33.5
W06000023,3,Fair health,12.9
W06000023,4,Bad health,3.9
W06000023,5,Very bad health,1.1
W06000024,-8,Does not apply,0
W06000024,1,Very good health,44.6
W06000024,2,Good health,30.6
W06000024,3,Fair health,15.3
W06000024,4,Bad health,7.1
W06000024,5,Very bad health,2.4
